,Unnamed: 0,Name,capacityTon,capacityM3,lengthCm,widthCm,maxDraughtCm,minDraughtCm,barge_M2,categoryM2,categoryTon,categoryM3
0,0,Gracias,2673.0,2900.0,10999.0,1145.0,320.0,95.0,12593855.0,13704900,2676.0,3033.0
1,1,Eiltank 39,1362.0,1500.0,8597.0,950.0,279.0,140.0,8167150.0,8174100,1768.0,1599.0
2,2,Ijsselstroom,1314.0,2077.0,8100.0,899.0,,,7281900.0,8174100,1314.0,2077.0
3,3,Terzo,1768.0,2077.0,8400.0,960.0,,,8064000.0,8174100,1768.0,2077.0
4,4,Dettmer Tank 118,3130.0,3033.0,8600.0,1100.0,,,9460000.0,9556800,3130.0,3033.0
5,5,Manuel,2676.0,3033.0,11000.0,1140.0,,,12540000.0,13704900,2676.0,3033.0
6,6,Ingeborg,1314.0,1599.0,8000.0,818.0,,,6544000.0,6791400,1314.0,1599.0
7,7,Jarona,1768.0,2077.0,8400.0,948.0,,,7963200.0,8174100,1768.0,2077.0
8,8,Schelde,1749.0,2060.0,8600.0,1062.0,321.0,153.0,9133200.0,9556800,1768.0,2077.0
9,9,Quellensee,1210.0,1535.0,8000.0,819.0,268.0,92.0,6552000.0,6791400,1314.0,1599.0
10,10,Eiltank 24,3584.0,3989.0,10900.0,1050.0,,,11445000.0,12322200,3584.0,3989.0
11,12,Relationship II,1768.0,2077.0,8400.0,949.0,,,7971600.0,8174100,1768.0,2077.0
12,13,Walter Deymann,1768.0,2077.0,8400.0,950.0,,,7980000.0,8174100,1768.0,2077.0
13,14,Servus,4946.0,5423.0,13500.0,1145.0,,,15457500.0,16470300,4946.0,5423.0
14,15,Elise,2828.0,3354.0,10976.0,1140.0,350.0,160.0,12512640.0,13704900,3130.0,3511.0
15,16,Sophia,2676.0,3033.0,11000.0,1140.0,,,12540000.0,13704900,2676.0,3033.0
16,17,Zeebrugge,2676.0,3033.0,9000.0,956.0,,,8604000.0,9556800,2676.0,3033.0
17,18,Internautic 3,2676.0,3511.0,10400.0,900.0,,,9360000.0,9556800,2676.0,3511.0
18,19,Reinie,3584.0,3989.0,11000.0,1145.0,,,12595000.0,13704900,3584.0,3989.0
19,20,Eiltank 43,2222.0,3033.0,10400.0,950.0,,,9880000.0,10939500,2222.0,3033.0
20,22,Antonela,2222.0,2555.0,8500.0,1050.0,,,8925000.0,9556800,2222.0,2555.0
21,23,Diane,4946.0,5423.0,13500.0,1145.0,,,15457500.0,16470300,4946.0,5423.0
22,24,Bohemia ,3130.0,3511.0,11000.0,1170.0,,,12870000.0,13704900,3130.0,3511.0
23,25,Stadt Aschaffenburg,3130.0,3989.0,10900.0,1100.0,,,11990000.0,12322200,3130.0,3989.0
24,26,Oase,3584.0,4467.0,12500.0,1145.0,,,14312500.0,15087600,3584.0,4467.0
25,27,Vectura,3584.0,3989.0,11000.0,1145.0,,,12595000.0,13704900,3584.0,3989.0
26,28,Yvonne,1768.0,2077.0,8400.0,902.0,,,7576800.0,8174100,1768.0,2077.0
27,29,Novalis,2676.0,3033.0,11000.0,1140.0,,,12540000.0,13704900,2676.0,3033.0
28,30,Franken,3584.0,3989.0,11000.0,1145.0,,,12595000.0,13704900,3584.0,3989.0
29,31,Gitte,3130.0,3033.0,11000.0,1144.0,,,12584000.0,13704900,3130.0,3033.0
30,32,Gemini,2676.0,3033.0,11000.0,1140.0,,,12540000.0,13704900,2676.0,3033.0
31,33,Asterode,1768.0,2077.0,8600.0,960.0,,,8256000.0,9556800,1768.0,2077.0
32,34,Eiltank 232,2676.0,3511.0,10900.0,1145.0,,,12480500.0,13704900,2676.0,3511.0
33,35,Suanca,1768.0,2077.0,8400.0,952.0,,,7996800.0,8174100,1768.0,2077.0
34,36,Hans Nico,3584.0,3989.0,11000.0,1145.0,,,12595000.0,13704900,3584.0,3989.0
35,37,Kepler,1655.0,1700.0,10588.0,1101.0,250.0,140.0,11657388.0,12322200,1768.0,2077.0
36,38,Heinrich Burmester ,1314.0,2077.0,8000.0,900.0,,,7200000.0,8174100,1314.0,2077.0
37,40,Ulekrite,1746.0,1800.0,8596.0,948.0,331.0,137.0,8149008.0,8174100,1768.0,2077.0
38,41,Eiltank 21,3584.0,3989.0,10900.0,1050.0,,,11445000.0,12322200,3584.0,3989.0
39,42,Judith,1768.0,2077.0,8000.0,952.0,,,7616000.0,8174100,1768.0,2077.0
40,43,Botein,3228.0,3600.0,11000.0,1145.0,377.0,160.0,12595000.0,13704900,3584.0,3989.0
41,44,Eiltank 66,1768.0,2077.0,8500.0,950.0,,,8075000.0,8174100,1768.0,2077.0
42,45,Selina,1768.0,2077.0,8500.0,900.0,,,7650000.0,8174100,1768.0,2077.0
43,46,Hannah Luisa,1768.0,2077.0,8500.0,960.0,,,8160000.0,8174100,1768.0,2077.0
44,47,Caritas 1,7216.0,7335.0,18000.0,1140.0,,,20520000.0,20618400,7216.0,7335.0
45,48,Edersee,1768.0,2077.0,8500.0,1000.0,,,8500000.0,9556800,1768.0,2077.0
46,49,Vosta,2850.0,3014.0,11000.0,1145.0,340.0,90.0,12595000.0,13704900,3130.0,3033.0
47,50,Amstelstroom,1977.0,2705.0,9000.0,1144.0,301.0,118.0,10296000.0,10939500,2222.0,3033.0
